name,rating,position,nation,team,pac,sho,pas,dri,def,phy
C. Duffus,57,,Republic of Ireland,Morecambe,68,56,46,56,28,65
C. Rowe,57,,England,Sutton United,46,31,38,39,57,70
M. Neutgens,57,,Germany,Bayer 04 Leverkusen,59,54,55,63,25,55
H. Macadam,57,,England,Fleetwood Town,62,51,54,57,54,68
Y. Koré,57,,France,Paris FC,62,36,51,53,58,59
A. Pepple,57,,Canada,Grimsby Town,73,55,40,56,27,70
G. Deegan,57,,Republic of Ireland,Drogheda United,33,47,52,53,55,65
S. Keogh,57,,Republic of Ireland,Sligo Rovers,69,48,55,57,55,56
R. Pyke,57,,England,Shrewsbury Town,75,54,44,61,39,57
B. Davis,57,,United States,Real Salt Lake,77,43,43,64,26,58
Liu Weiguo,57,,China PR,Changchun Yatai FC,58,50,60,59,49,58
D. Skubl,57,,Austria,RZ Pellets Wolfsberger AC,61,56,52,60,17,51
M. Al Haidari,57,,Saudi Arabia,Al Khaleej,58,55,55,55,31,58
J. Knowles,57,,England,Mansfield Town,80,55,45,56,27,56
R. East,57,,England,Bradford City,68,48,58,64,51,47
E. Ogura,57,,Ghana,FC Nordsjælland,60,55,61,59,64,55
T. Small,57,,England,Port Vale,77,31,41,56,53,60
A. Ali,57,,India,FC Goa,70,33,45,50,54,71
T. Ryan,57,,Republic of Ireland,Bohemian FC,59,56,54,58,45,55
B. Pachito,57,,Ecuador,9 de Octubre,70,55,54,56,41,52
J. McClelland,57,,Republic of Ireland,St. Patrick's Athletic,66,56,55,57,51,51
M. Dabre,57,,Italy,Swindon Town,91,47,50,57,47,56
O. Wypart,57,,Poland,Śląsk Wrocław,71,35,47,49,53,50
N. Al Shikaili,57,,United Arab Emirates,Al Ain FC,88,44,49,60,32,43
M. Osifo,57,,Belgium,KV Oostende,77,25,49,58,55,62
T. Geerkens,57,,Germany,Fortuna Düsseldorf,57,40,51,49,55,64
T. Abraham,57,,England,Walsall,86,54,38,55,23,59
T. Nkada,57,,France,Stade de Reims,68,56,48,59,22,50
O. Smyth,57,,Northern Ireland,Oxford United,66,46,57,60,47,61
A. Al-Hamadi,57,,Iraq,Wycombe Wanderers,71,56,39,55,18,59
P. Niyongabire,57,,Burundi,Perth Glory,85,46,46,62,35,59
A. Hunt,57,,England,Grimsby Town,62,52,54,63,51,41
M. Rostkowski,57,,Poland,Górnik Zabrze,76,44,51,57,48,43
A. Besio,57,,Switzerland,FC St. Gallen 1879,66,55,44,56,25,62
F. Al Rashidi,57,,Saudi Arabia,Al Taawoun,70,47,50,63,39,56
M. Danciu,57,,Romania,Universitatea Craiova,72,41,48,56,29,45
D. Aguirre,57,,United States,LA Galaxy,64,40,55,58,48,53
T. Le Bris,57,,France,FC Lorient,55,42,55,58,58,47
F. Yılmaz,57,,Turkey,GZT Giresunspor,54,26,36,38,61,55
A. Larsson,56,,Sweden,GIF Sundsvall,58,56,42,55,23,54
B. Minnema,56,,Netherlands,SC Cambuur,58,55,55,61,19,52
A. Al Salem,56,,Saudi Arabia,Al Adalah,69,24,48,52,51,58
F. Potts,56,,England,West Ham United,57,40,52,52,53,66
E. Azcona,56,,Dominican Republic,Inter Miami CF,67,54,49,64,23,38
J. Bakke,56,,Norway,Molde FK,63,49,56,56,51,43
D. Mubama,56,,England,West Ham United,81,54,44,57,24,53
M. Kowalski,56,,Poland,Jagiellonia Białystok,59,54,37,51,26,66
I. Fray,56,,United States,Inter Miami CF,72,28,37,49,54,59
L. Zabala,56,,Australia,Brisbane Roar,64,47,54,59,42,70
C. Boyd-Munce,56,,Northern Ireland,Middlesbrough,63,52,55,53,45,61
N. Raveyre,56,,France,AS Saint-Étienne,54,52,59,60,20,56
M. Roberts,56,,England,Birmingham City,61,25,40,45,56,65
S. Aas,56,,Norway,Odds BK,68,46,55,60,47,58
N. Saintini,56,,France,FC Sion,60,27,39,38,54,68
G. Grotta,56,,Italy,Palermo,58,54,57,59,25,49
J. Echave,56,,Chile,Unión Española,56,54,54,56,24,52
J. Reid,56,,England,Portsmouth,80,54,46,57,20,51
M. Dudek,56,,Poland,PGE FKS Stal Mielec,55,57,60,58,20,57
E. Metu,56,,Austria,SK Austria Klagenfurt,66,41,54,61,52,65
A. Lopane,56,,Australia,Western Sydney Wanderers,76,41,46,62,30,56
Wu Wei,56,,China PR,Dalian Professional Football Club,63,47,49,54,53,70
R. Hughes,56,,Wales,Tranmere Rovers,62,52,57,57,46,54
C. Chiappetta,56,,Switzerland,FC Winterthur,70,52,48,58,17,49
M. Wolfs,56,,Netherlands,FC Emmen,55,50,51,62,25,56
A. Benediktsson,56,,Iceland,IFK Göteborg,56,53,52,59,37,55
Kim Woo Suk,56,,Korea Republic,Daegu FC,39,25,37,40,55,63
L. Moro,56,,Italy,Frosinone,68,53,42,53,18,56
Y. Matsenko,56,,Ukraine,Śląsk Wrocław,55,39,44,42,54,63
R. Singh,56,,India,Hyderabad FC,68,26,39,47,52,66
J. Lindgren,56,,Sweden,IFK Norrköping,62,56,54,54,26,52
S. Visentin,56,,Argentina,Cittadella,55,25,29,31,57,66
J. Rooney,56,,England,Derby County,60,36,45,52,56,60
A. Astudillo,56,,Venezuela,Universidad Católica,68,25,38,55,51,57
S. Swinkels,56,,Netherlands,Aston Villa,50,31,37,37,56,60
Wang Yang,56,,China PR,Zhejiang Professional FC,64,33,45,47,56,58
V. Ciriello,56,,Italy,Cittadella,68,26,32,38,57,59
R. Griffiths,56,,England,Crewe Alexandra,67,47,54,59,47,58
J. Ojrzyński,56,,Poland,Radomiak Radom,56,56,57,60,25,58
N. Hayes,56,,England,Ipswich Town,54,56,57,56,22,54
N. Hernandez,56,,United States,FC Dallas,65,53,55,65,43,54
G. Diomandé,56,,Côte d'Ivoire,SV Ried,71,52,50,59,28,51
Z. Obiero,56,,England,Leyton Orient,73,43,51,60,36,44
V. Mitrea,56,,Romania,CS Mioveni,65,51,47,52,48,65
Y. Özdemir,56,,Turkey,Aytemiz Alanyaspor,54,39,53,57,53,54
D. Barkers,56,,Netherlands,Cheltenham Town,61,38,49,50,52,67
A. Soboń,56,,Poland,PGE FKS Stal Mielec,66,47,55,62,32,43
S. Salisu,56,,Nigeria,IFK Göteborg,51,56,39,49,29,64
K. Vargas,56,,Colombia,Charlotte FC,81,54,40,62,20,53
V. Akinwale,56,,England,Crystal Palace,66,60,45,60,21,41
D. Noone,56,,Republic of Ireland,Drogheda United,54,48,54,57,47,54
L. Hey,56,,Denmark,Lyngby BK,58,41,51,53,55,61
V. Covil,56,,United States,Hull City,78,51,48,60,22,56
J. Justin,56,,India,Chennaiyin FC,58,55,45,54,36,59
S. Issah,56,,Ghana,AFC Hermannstadt,62,20,28,36,55,69
W. Akio,56,,South Sudan,Ross County FC,76,55,45,59,25,47
B. Diabaté,56,,Mali,Lechia Gdańsk,75,54,40,55,21,51
S. Radebe,56,,South Africa,Kaizer Chiefs,67,55,56,60,46,47
Z. Larkeche,56,,France,Barnsley,67,31,43,54,53,51
C. Thiam,56,,England,Fleetwood Town,75,45,44,58,51,54
O. Rosengren,56,,Sweden,Mjällby AIF,64,45,58,59,48,48
I. Bjerkebo,56,,Sweden,Kalmar FF,63,57,42,58,24,48
E. Caffrey,56,,Republic of Ireland,UCD AFC,64,54,54,58,51,61
Han Feng,56,,China PR,Shijiazhuang Ever Bright F.C.,57,54,58,54,51,55
M. Sellinger,56,,Austria,TSV Egger Glas Hartberg,65,32,49,51,55,57
S. Dalby,56,,England,Wrexham AFC,65,56,39,53,20,61
J. Nolan,56,,England,Accrington Stanley,74,51,50,58,46,63
M. Koné,56,,Côte d'Ivoire,Le Havre AC,56,53,54,58,21,54
R. Hauge,56,,Norway,Dundalk FC,75,50,51,59,48,56
S. Hazazi,56,,Saudi Arabia,Al Taawoun,84,31,44,50,48,68
N. Poojary,56,,India,Hyderabad FC,74,49,49,58,43,59
M. Salah El Boukammiri,56,,Belgium,Royale Union Saint-Gilloise,72,51,51,61,27,43
O. Aghatise,56,,Germany,Derby County,69,48,50,63,35,53
Ye Chugui,56,,China PR,Guangzhou City,64,50,55,57,57,60
W. Jakobsson,56,,Sweden,IFK Norrköping,56,58,59,57,24,59
P. Chaudhari,56,,India,Jamshedpur FC,55,25,32,42,53,73
S. Brennan,56,,Republic of Ireland,UCD AFC,68,50,55,58,47,57
K. O'Sullivan,56,,Republic of Ireland,Sligo Rovers,80,51,47,57,40,50
T. Lonergan,56,,Republic of Ireland,UCD AFC,65,56,44,56,20,56
A. Camara,56,,Mali,Sarpsborg 08 FF,75,55,42,53,20,60
M. Lewandowski,56,,Poland,Wisła Płock,67,55,42,55,20,62
Zhao Yingjie,56,,China PR,Tianjin Jinmen Tiger FC,65,55,52,52,53,65
D. Aranda,56,,Paraguay,Club Sol de América,57,55,54,56,24,53
G. Theocharis,56,,Greece,AEK Athens,61,57,49,60,24,50
Z. Ashworth,56,,England,West Bromwich Albion,66,43,48,52,53,54
G. Molloy,56,,Republic of Ireland,Shelbourne FC,58,51,53,55,53,58
K. Bauernfeind,56,,Austria,WSG Tirol,68,49,58,59,39,61
Asqer Afrden,56,,China PR,Guangzhou FC,74,50,42,60,23,52
M. Delavallée,56,,Belgium,Royal Charleroi S.C.,57,53,62,54,46,55
S. Roughan,56,,Republic of Ireland,Lincoln City,64,29,44,41,54,63
A. Quinn,56,,Republic of Ireland,Drogheda United,47,30,42,42,56,60
R. Falchou,56,,Belgium,KV Mechelen,58,52,57,60,40,54
H. Perritt,56,,England,Accrington Stanley,63,33,46,51,52,63
Park Kyu Min,56,,Korea Republic,Jeonbuk Hyundai Motors,63,51,46,59,23,47
A. Singh,56,,India,FC Goa,57,54,53,63,42,53
J. Burta,56,,Poland,Śląsk Wrocław,58,54,54,57,26,56
T. De Percin,56,,France,AJ Auxerre,61,55,56,58,22,55
C. Fenninger,56,,Germany,SpVgg Bayreuth,65,55,45,57,26,54
Cui Wei,56,,China PR,Meizhou Hakka,74,52,56,57,51,63
C. Popescu,56,,Romania,AFC Hermannstadt,73,47,52,59,40,56
A. Tchaptchet,56,,France,Grenoble Foot 38,55,31,35,37,58,63
M. Köbbing,56,,Germany,1. FC Köln,61,57,52,56,32,51
H. Sulte,56,,United States,Portland Timbers,59,57,56,59,22,47
W. Sands,56,,United States,Columbus Crew,68,48,49,54,53,48
D. Jaunegg,56,,Austria,WSG Tirol,57,39,47,55,55,62
D. Krasniqi,56,,Sweden,Varbergs BoIS FC,73,55,38,53,22,64
Paik Sang Hoon,56,,Korea Republic,FC Seoul,60,44,56,57,44,48
Zhang Yan,56,,China PR,Chengdu Rongcheng F.C.,59,53,52,58,32,54
M. Al Moqahwi,56,,Saudi Arabia,Al Adalah,57,53,53,58,39,54
J. Grey,56,,England,Hartlepool United,78,53,40,60,23,55
A. Salaou,56,,Côte d'Ivoire,IFK Göteborg,63,27,51,55,51,54
J. Kindberg,56,,Sweden,Kalmar FF,53,55,61,60,27,56
Lee Ji Hoon,56,,Korea Republic,Sangju Sangmu FC,68,45,48,61,29,52
L. Sousa,56,,England,Arsenal,65,34,45,54,54,53
A. Sandach,56,,Poland,Korona Kielce,57,61,56,57,22,55
S. Tovide,56,,England,Colchester United,79,55,44,58,33,72
Liu Yue,56,,China PR,Shenzhen FC,73,50,49,55,31,46
I. Altuntas,56,,Germany,Viktoria Köln,63,25,43,51,55,58
C. Peupion,56,,Australia,Brighton & Hove Albion,57,44,60,58,41,52
M. Kurt,56,,Turkey,GZT Giresunspor,60,59,50,62,22,48
K. Lloyd,56,,England,Wigan Athletic,70,29,45,53,51,53
Y. Sunbul,56,,Saudi Arabia,Al Raed,74,48,51,60,34,38
S. Cissé,56,,France,Clermont Foot 63,49,35,36,36,57,60
V. Schwab,56,,Germany,SV Sandhausen,52,29,37,35,56,60
A. Al Hajeri,56,,Saudi Arabia,Al Wehda,65,39,49,52,53,55
R. Ali,56,,India,Chennaiyin FC,76,53,46,56,24,60
Wang Yaopeng,56,,China PR,Dalian Professional Football Club,64,27,33,49,56,66
H. Mondal,56,,India,Bengaluru FC,69,36,41,46,52,71
D. Bauer,56,,Germany,SV Wehen Wiesbaden,55,26,29,35,55,68
L. Rocrou,56,,France,FC Girondins de Bordeaux,73,55,46,58,26,50
T. Magnin,56,,Switzerland,Servette FC,65,33,40,58,54,47
L. Pirringuel,56,,France,FC Girondins de Bordeaux,68,44,58,59,41,50
I. Lewandowski,56,,Poland,Miedź Legnica,63,37,51,52,54,59
N. El Hassani,56,,France,Chamois Niortais Football Club,68,44,59,63,42,38
B. Diallo,56,,France,Clermont Foot 63,73,34,49,55,52,37
M. Kucheriavyi,56,,Ukraine,St. Johnstone FC,73,51,53,58,33,42
J. Pedersen,56,,Denmark,Aalborg BK,67,46,55,59,44,53
N. Allen,56,,United States,Inter Miami CF,73,29,45,58,50,54
L. Tagesson,56,,Sweden,Djurgårdens IF,66,25,51,54,46,53
Duan Yunzi,56,,China PR,Wuhan Three Towns,73,57,44,52,23,55
Z. Labyad,56,,France,Grenoble Foot 38,62,57,40,55,22,48
Yang Fan,56,,China PR,Tianjin Jinmen Tiger FC,61,31,50,56,57,60
E. King,56,,Wales,Crewe Alexandra,64,46,55,58,49,59
J. Wakeling,56,,England,Swindon Town,65,56,47,57,20,58
A. Vitelli,56,,France,En Avant de Guingamp,39,26,39,34,56,64
J. N'Duquidi,56,,France,FC Metz,68,44,56,60,56,59
J. Hall,56,,England,Melbourne City FC,58,25,37,39,54,70
H. Far,56,,France,Rodez Aveyron Football,64,60,42,53,21,45
S. Brynn,56,,England,Swindon Town,54,58,58,57,31,55
P. Saathof,56,,Netherlands,Go Ahead Eagles,65,48,54,60,48,51
H. Johansson,56,,Sweden,Mjällby AIF,61,53,45,55,40,68
E. Brierley,56,,England,Rochdale,71,46,54,57,52,56
Y. Erdoğan,56,,Turkey,Fatih Karagümrük S.K.,65,51,56,55,53,52
B. Hockenhull,56,,England,Tranmere Rovers,65,27,40,44,58,56
L. Jendal,56,,Norway,Hamarkameratene,56,55,56,56,29,55
Lim Seung Gyeom,56,,Korea Republic,Sangju Sangmu FC,58,24,34,32,58,59
J. Janneh,56,,Sierra Leone,SC Bastia,64,42,50,49,57,60
L. Bergström,56,,Finland,Peterborough United,57,56,58,57,23,54
R. McAlear,56,,Scotland,Tranmere Rovers,62,52,56,58,44,58
J. Haak,56,,United States,New York City FC,47,39,55,60,53,51
A. Amenda,56,,Switzerland,BSC Young Boys,64,27,30,33,54,74
M. Soosairaj,56,,India,Odisha FC,72,50,52,54,47,55
D. Grimes,56,,Republic of Ireland,Drogheda United,69,50,52,58,32,51
Chen Kerui,56,,China PR,Shandong Taishan,67,50,55,59,42,58
E. Dobbelaere,56,,United States,Seattle Sounders FC,74,43,48,61,38,41
Chen Wei,56,,China PR,Shanghai Port FC,57,52,51,58,29,52
D. Majumder,56,,India,Chennaiyin FC,54,51,47,60,40,56
B. Hemcke,56,,Germany,Viktoria Köln,64,42,50,58,51,57
A. Doumbouya,56,,Guinea,Djurgårdens IF,76,48,48,62,22,50
P. Kouame,56,,Sweden,IF Elfsborg,85,47,48,58,28,57
T. Rushesha,56,,Wales,Swansea City,79,29,43,52,51,43
F. Díaz,56,,Paraguay,Club Sol de América,70,25,39,51,52,62
Lalruatthara,56,,India,Odisha FC,77,35,40,52,52,62
H. Anhari,56,,Morocco,MSV Duisburg,70,43,47,62,30,53
D. Duncan,56,,England,Finn Harps,71,48,58,60,48,51
N. Bassette,56,,Belgium,Stade Malherbe Caen,68,55,39,50,19,56
Zhang Wei,56,,China PR,Hebei FC,54,51,46,54,46,63
M. Iminqari,56,,China PR,Chengdu Rongcheng F.C.,59,45,50,58,45,50
J. Neufville,56,,England,Sutton United,77,53,46,57,19,58
H. Cartwright,56,,England,Peterborough United,56,58,53,58,25,52
B. Kalkan,56,,North Macedonia,Kasimpaşa SK,66,54,50,61,31,34
D. Dumbravanu,56,,Moldova,APOEL Nicosia FC,52,37,39,50,57,56
R. Zouhir,56,,Morocco,Club de Foot Montréal,66,46,54,61,50,65
K. N'Mai,56,,Netherlands,Salford City,85,47,49,60,27,39
O. Solnørdal,56,,Norway,Aalesunds FK,63,46,53,56,52,53
J. McCracken,56,,Scotland,Bohemian FC,58,58,57,60,35,56
R. Van Hauter,56,,Belgium,KAA Gent,64,38,52,59,54,54
S. Zawadzki,56,,United States,Columbus Crew,72,45,46,51,54,65
N. Al Meqhem,56,,Saudi Arabia,Al Adalah,71,47,53,55,32,43
S. Ostrzinski,56,,Germany,Borussia Dortmund II,60,54,56,55,29,52
C. Üstündag,56,,Austria,WSG Tirol,67,44,54,65,43,46
M. Jawhar,56,,Saudi Arabia,Abha Club,55,58,52,56,44,55
A. Dahl,56,,Denmark,Silkeborg IF,65,39,53,58,50,50
P. Müller,56,,Austria,RZ Pellets Wolfsberger AC,61,53,57,57,54,56
Wang Xianjun,56,,China PR,Dalian Professional Football Club,66,37,48,50,52,60
Álex Ramos,56,,Spain,CD Lugo,61,43,58,58,57,54
Bao Yaxiong,56,,China PR,Hebei FC,59,52,55,56,20,51
T. Hume,56,,Northern Ireland,Sunderland,66,37,45,53,54,67
O. Al Jadaani,56,,Saudi Arabia,Al Ittihad,71,52,48,57,26,41
M. Torlak,56,,Germany,Aytemiz Alanyaspor,59,49,54,63,32,40
D. Gutierrez,56,,United States,Portland Timbers,68,55,52,62,17,33
G. Cleur,56,,Australia,Western Sydney Wanderers,68,31,34,50,56,52
G. Dănuleasă,56,,Romania,FC Farul Constanța,62,24,36,37,55,66
P. Schulte,56,,United States,Columbus Crew,54,54,53,54,16,59
Zhang Jinliang,56,,China PR,Guangzhou City,54,25,36,45,58,60
R. Burke,56,,Republic of Ireland,Bohemian FC,61,42,54,53,52,59
J. Bauer,56,,Germany,1. FC Saarbrücken,58,56,51,59,27,53
M. Timlin,56,,Republic of Ireland,Finn Harps,53,55,56,59,48,43
E. Osam,56,,Republic of Ireland,UCD AFC,62,36,47,52,51,66
J. Nowakowski,56,,Poland,Radomiak Radom,64,44,54,56,48,55
L. Brooks,56,,Australia,Melbourne Victory,78,47,47,59,27,43
M. Søndergaard,56,,Denmark,Viborg FF,62,45,56,60,44,45
J. Ægidius,56,,Denmark,Brøndby IF,58,55,54,58,27,54
S. Liu,56,,China PR,SK Austria Klagenfurt,58,55,52,57,24,55
N. Tresoldi,56,,Italy,Hannover 96,65,54,40,57,21,55
L. Zbinden,56,,Switzerland,BSC Young Boys,60,56,60,58,21,56
J. Vetro,56,,France,FC Girondins de Bordeaux,66,57,46,60,20,51
V. Singh,56,,India,Mumbai City FC,79,51,47,58,24,47
D. Tibell,56,,Sweden,IFK Norrköping,75,55,42,54,19,54
G. Quilichini,56,,France,AC Ajaccio,54,52,58,63,25,59
C. Etoga,56,,Cameroon,Dijon FCO,55,43,49,53,57,60
M. Singh,56,,India,Mumbai City FC,67,25,32,34,56,68
L. Schulz,56,,Finland,SpVgg Greuther Fürth,57,60,57,56,20,54
K. Szmyt,56,,Poland,Warta Poznań,69,42,53,58,30,39
M. Olagunju,56,,England,Huddersfield Town,63,25,28,35,57,66
P. Sutter,56,,Switzerland,FC St. Gallen 1879,65,53,51,57,53,48
S. Temel,56,,Turkey,Atakaş Hatayspor,65,42,55,56,53,47
N. van Haveren,56,,Netherlands,Vitesse,58,56,53,53,29,57
Kang Eui Bin,56,,Korea Republic,Seongnam FC,61,25,29,39,56,69
O. Olsson,56,,Denmark,Aarhus GF,69,23,32,36,55,65
Q. McNeill,56,,Republic of Ireland,Charlotte FC,56,43,53,55,49,52
S. Trimboli,56,,Italy,U.C. Sampdoria,58,48,57,61,49,54
R. Rikal,56,,Austria,SC Rheindorf Altach,62,51,55,60,29,47
A. McFadden,56,,United States,Atlanta United,61,53,46,61,56,51
E. Adams,56,,Australia,Melbourne Victory,70,40,49,67,32,54
W. Swan,56,,England,Mansfield Town,70,56,38,56,18,54
R. O'Kane,56,,Republic of Ireland,Dundalk FC,68,52,47,61,28,33
A. Przybek,56,,Wales,Walsall,58,57,55,55,29,55
J. Louchet,56,,France,Chamois Niortais Football Club,53,49,62,60,21,58
Kim Dae Woo,56,,Korea Republic,Gangwon FC,60,41,53,59,54,67
Kang Yun Seong,56,,Korea Republic,Sangju Sangmu FC,61,49,56,55,47,60
M. Rabuel,56,,France,Valenciennes FC,57,27,37,40,58,55
M. Weiß,56,,Germany,Karlsruher SC,60,57,58,64,26,48
C. Paraco,56,,Venezuela,Deportivo Táchira FC,68,49,50,61,28,43
M. Adebowale,56,,England,Crawley Town,53,22,36,37,55,64
Rahul KP,56,,India,Kerala Blasters FC,89,52,45,58,35,47
D. Idehen,56,,England,Carlisle United,70,24,32,40,56,65
I. Vik,56,,Norway,Tromsø IL,62,29,45,42,56,57
Xu Tianyuan,56,,China PR,Hebei FC,75,55,41,59,23,57
C. Horneman,56,,Denmark,Odense Boldklub,85,48,44,59,22,48
K. Rad,56,,United States,Sporting Kansas City,56,31,37,37,56,63
D. Sür,56,,Germany,TSV 1860 München,67,50,52,60,37,55
A. Jadhav,56,,India,SC East Bengal FC,83,52,48,56,28,64
N. Hahne,56,,Germany,DSC Arminia Bielefeld,56,56,52,60,30,52
M. Burman,56,,Sweden,GIF Sundsvall,64,49,54,57,46,54
R. Singh,56,,India,Bengaluru FC,71,49,55,59,48,57
E. Danso,56,,Ghana,Strømsgodset IF,72,37,57,63,46,40
A. Bayew,56,,Australia,Western United FC,86,53,44,62,26,43
Ó. Coronel,56,,Paraguay,Club Sol de América,63,57,39,53,17,57
P. Chrupalla,56,,Norway,Kristiansund BK,67,51,50,58,50,57
G. Saro,56,,Italy,US Cremonese,56,62,59,58,21,51
N. Almas,56,,Saudi Arabia,Al Fayha,62,26,34,37,55,67
J. Erabi,56,,Sweden,Hammarby IF,70,54,46,56,25,61
T. Sparrow,56,,Wales,Stoke City,61,46,54,60,50,53
F. Liivak,56,,Estonia,Sligo Rovers,53,57,47,54,27,52
C. Caton,56,,Wales,Shrewsbury Town,74,54,47,57,34,57
Lee Gi Hyeok,56,,Korea Republic,Suwon FC,65,42,50,54,46,67
J. Kerr,56,,Scotland,Bohemian FC,46,31,40,53,58,55
J. Davis,56,,England,Crawley Town,79,49,48,59,28,43
D. Meddah,56,,France,FC Sochaux-Montbéliard,67,47,55,62,49,62
G. Kumar,56,,India,NorthEast United FC,68,46,41,51,53,67
C. Jennings,56,,United States,Los Angeles FC,69,58,36,53,18,52
S. Singh,56,,India,Kerala Blasters FC,67,31,42,50,54,67
B. Souare,56,,Switzerland,Servette FC,51,26,34,32,55,70
Shang Yin,56,,China PR,Dalian Professional Football Club,72,43,50,61,45,62
M. Hatch,56,,Australia,Perth Glory,92,44,41,55,48,59
K. Seven,56,,Turkey,GZT Giresunspor,57,30,36,39,57,59
Y. Maronne,56,,France,Chamois Niortais Football Club,52,60,53,57,29,58
M. Woltman,56,,England,Doncaster Rovers,67,54,47,59,21,47
M. Kourouma,56,,Germany,Rot-Weiß Essen,75,31,39,46,56,60
A. Matuq,56,,Saudi Arabia,Al Shabab,83,51,46,56,23,59
M. O'Neill,56,,England,Preston North End,67,58,50,60,24,45
Chen Quanjiang,56,,China PR,Guangzhou FC,81,25,39,51,53,50
L. Khawlhring,56,,India,Kerala Blasters FC,63,44,54,61,51,62
A. Lô,56,,Senegal,FC Metz,54,32,33,36,59,53
M. Andersen,56,,Norway,FK Bodø/Glimt,56,54,56,56,20,54
C. Erciyas,56,,Turkey,Aytemiz Alanyaspor,58,29,34,37,60,51
P. Cherrie,56,,Scotland,Dundalk FC,56,56,55,54,22,52
K. Ferguson,56,,Scotland,Harrogate Town,53,29,40,46,54,68
S. Faraj,56,,Algeria,FC Sochaux-Montbéliard,69,46,56,60,42,48
J. Brown,56,,England,Leyton Orient,63,31,44,54,56,66
D. Croitoru,56,,Romania,FC U Craiova 1948,77,48,51,56,30,44
Y. Al Qarni,56,,Saudi Arabia,Al Batin,62,39,54,53,53,49
J. Knowles,56,,England,Brisbane Roar,63,55,36,55,23,55
Y. Massolin,56,,France,Clermont Foot 63,56,40,59,55,56,61
R. El Khamali,56,,France,Dijon FCO,72,46,53,61,28,37
W. Mannion,56,,England,Cambridge United,56,54,53,56,37,56
N. Suman,56,,Australia,Macarthur FC,57,57,54,54,21,55
L. Ravenhill,56,,Northern Ireland,Doncaster Rovers,64,38,50,56,52,58
A. Al Ayeri,56,,Saudi Arabia,Al Taawoun,81,36,51,58,52,63
S. Blum,56,,Germany,1. FC Nürnberg,74,55,45,61,24,52
Y. Al Najai,56,,Saudi Arabia,Al Wehda,73,52,50,57,26,52
M. Nocita,56,,United States,New York Red Bulls,65,26,40,38,56,66
Lee Young Joon,56,,Korea Republic,Suwon FC,63,54,44,53,19,68
A. Makki,56,,Saudi Arabia,Al Wehda,50,23,43,39,56,62
D. Gjengaar,56,,Norway,Odds BK,79,45,44,57,48,60
I. Sauter,56,,Switzerland,FC Zürich,76,38,46,49,54,67
J. Makengo,56,,France,SC Freiburg II,72,20,35,41,56,63
R. Richards,56,,England,West Bromwich Albion,68,49,51,59,26,45
Yan Zhiyu,56,,China PR,Changchun Yatai FC,72,28,34,49,57,49
V. Bezerra,56,,United States,Chicago Fire Football Club,63,59,40,52,18,54
D. Knappe,56,,Germany,SC Freiburg II,69,51,51,59,25,48
T. Ouma,56,,Kenya,IF Elfsborg,73,45,55,55,38,61
G. Molin,56,,Sweden,GIF Sundsvall,55,54,52,59,23,53
J. López,56,,Chile,CD Everton de Viña del Mar,64,28,38,46,58,63
J. Silva,56,,Chile,Unión Española,66,45,54,60,35,32
A. Stan,56,,Romania,FC Voluntari,72,52,51,57,32,47
F. Stople,56,,Norway,FK Haugesund,57,57,55,59,28,55
A. Nuñez,56,,Paraguay,Club Cerro Porteño,67,26,47,52,54,50
M. Sangare,56,,Liberia,Accrington Stanley,62,49,54,58,54,69
E. Koyuncu,56,,Turkey,İstanbul Başakşehir FK,53,32,35,40,57,58
V. Egeli,56,,Norway,Sandefjord Fotball,64,47,53,59,51,49
A. Păun,56,,Romania,Universitatea Cluj,58,52,56,58,28,56
C. Turner,56,,United States,Philadelphia Union,68,38,47,55,54,66
E. Vanspaul,56,,India,Chennaiyin FC,72,34,51,53,51,70
H. Narzary,56,,India,Hyderabad FC,77,52,48,57,34,59
B. Faulkner,56,,England,Doncaster Rovers,65,27,32,40,55,63
E. Kratzer,56,,Germany,SpVgg Greuther Fürth,62,36,43,48,54,52
J. Singh,56,,India,Mumbai City FC,83,53,48,58,21,55
A. Abou,56,,Morocco,SPAL,61,46,52,56,46,53
A. Stankovic,56,,Denmark,Randers FC,57,56,53,58,45,54
Y. López,56,,Uruguay,Liverpool Fútbol Club,59,46,57,59,40,46
A. Pavlesic,56,,Australia,Sydney FC,56,57,53,59,30,58
M. Nelson,56,,United States,Houston Dynamo,55,57,56,57,26,56
R. Jesuraj,56,,India,Chennaiyin FC,71,46,52,56,27,57
F. Mihaljević,56,,Croatia,Finn Harps,60,58,39,56,22,66
R. Norheim,56,,Norway,Tromsø IL,63,48,53,58,46,46
C. Mizell,56,,United States,New York City FC,56,51,60,58,21,54
Huang Ruifeng,56,,China PR,Shenzhen FC,71,35,49,57,49,60
Huang Jiahui,56,,China PR,Dalian Professional Football Club,69,35,45,56,55,60
J. Quispe,56,,Peru,Club Sporting Cristal,68,43,52,54,52,57
Li Guangwen,56,,China PR,Changchun Yatai FC,59,41,52,57,57,64
A. Schulz,56,,Germany,DSC Arminia Bielefeld,51,54,55,62,26,52
Z. Emmerson,56,,England,Blackpool,71,53,47,58,22,45
A. Al Ghamdi,56,,Saudi Arabia,Ettifaq FC,72,47,51,59,41,59
G. Martins,56,,India,FC Goa,69,48,54,56,49,67
F. Abiuso,56,,Italy,Modena,60,57,40,52,19,55
